Date,S&P 500,RiskFree,Consumer Discretionary,Basic Materials,Industrials,Financials,Technology,Consumer Staples,Utilities,Health Care,Telecommunications,Energy,Real Estate
2020-01-02,3257.85009765625,1.8819999694824219,3727153.25,1084916.125,3524510.0,6370276.0,6955961.0,2587840.5,1084187.0,4588745.0,3625138.0,2056437.125,1369111.375
2020-01-03,3234.85009765625,1.7879999876022339,3699064.5,1068639.375,3517760.25,6314052.5,6871996.5,2581222.5,1085546.75,4550744.0,3608787.0,2058850.625,1380045.5
2020-01-06,3246.280029296875,1.8109999895095825,3710295.75,1064248.25,3518559.75,6308746.5,6897154.5,2584820.75,1087273.875,4578753.5,3650982.0,2075736.375,1382570.125
2020-01-07,3237.179931640625,1.8270000219345093,3709118.0,1066543.125,3514150.75,6280029.5,6899640.5,2566685.75,1085344.125,4569745.5,3650808.25,2074528.25,1367799.0
2020-01-08,3253.050048828125,1.8739999532699585,3719536.0,1061569.125,3522502.25,6324637.5,6965412.0,2576339.25,1085066.625,4595443.5,3671569.25,2042609.5,1372326.125
2020-01-09,3274.699951171875,1.8580000400543213,3733382.0,1060189.625,3538017.25,6368179.5,7042641.5,2595122.0,1090137.625,4617926.0,3682720.75,2052108.375,1373194.25
2020-01-10,3265.35009765625,1.8250000476837158,3712436.25,1057971.5,3514431.75,6335208.5,7026499.0,2592575.5,1092564.875,4622471.0,3676946.75,2040422.625,1383774.125
2020-01-13,3288.1298828125,1.8480000495910645,3742018.5,1067958.375,3547860.25,6382196.0,7124292.5,2607639.0,1099918.625,4606606.5,3708243.5,2043279.625,1399480.375
2020-01-14,3283.14990234375,1.8179999589920044,3739375.0,1067743.625,3548894.5,6367105.0,7088328.0,2610555.75,1103484.0,4640459.5,3698871.0,2044116.125,1394823.625
2020-01-15,3289.2900390625,1.7879999876022339,3734204.0,1072441.125,3554765.75,6361158.5,7083771.0,2619259.75,1118644.75,4677514.0,3713619.5,2036167.25,1406261.875
2020-01-16,3316.81005859375,1.809000015258789,3768560.0,1074863.875,3594171.0,6419987.0,7180255.0,2629155.75,1125809.5,4707309.0,3738734.75,2038602.625,1417253.875
2020-01-17,3329.6201171875,1.8359999656677246,3775574.75,1078331.25,3594194.0,6454221.5,7213750.5,2632988.25,1133929.625,4705178.0,3769223.5,2028224.0,1418413.5
